Station_ID,Stop_ID,Station_Name,Destination,Route,Run_Number,Prediction_Time,Arrival_Time,Is_Approaching,Is_Scheduled,Is_Delayed,Is_Fault
41680,30298,Oakton-Skokie,Howard,Y,593,2023-04-23T16:44:23,2023-04-23T16:45:23,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,593,2023-04-23T16:45:04,2023-04-23T16:46:04,1,0,0,0
40330,30064,Grand,Howard,Red,813,2023-04-23T16:47:55,2023-04-23T16:48:55,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,929,2023-04-23T16:47:29,2023-04-23T16:48:29,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,929,2023-04-23T16:48:16,2023-04-23T16:49:16,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,594,2023-04-23T16:49:59,2023-04-23T16:50:59,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,594,2023-04-23T16:50:39,2023-04-23T16:51:39,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,594,2023-04-23T16:50:39,2023-04-23T16:51:39,1,0,0,0
41130,30215,Halsted,Loop,Org,712,2023-04-23T16:51:36,2023-04-23T16:52:36,1,0,0,0
41130,30215,Halsted,Loop,Org,712,2023-04-23T16:51:50,2023-04-23T16:52:50,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,912,2023-04-23T16:52:15,2023-04-23T16:53:15,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,912,2023-04-23T16:53:07,2023-04-23T16:54:07,1,0,0,0
40840,30164,South Boulevard,Howard,P,507,2023-04-23T16:52:41,2023-04-23T16:53:41,1,0,0,0
41360,30265,California,Cottage Grove,G,13,2023-04-23T16:55:06,2023-04-23T16:56:06,1,0,0,0
41440,30278,Addison,Loop,Brn,410,2023-04-23T16:55:12,2023-04-23T16:56:12,1,0,0,0
41360,30265,California,Cottage Grove,G,13,2023-04-23T16:55:06,2023-04-23T16:56:06,1,0,0,0
41360,30265,California,Cottage Grove,G,13,2023-04-23T16:56:11,2023-04-23T16:57:11,1,0,0,0
41360,30266,California,Harlem/Lake,G,612,2023-04-23T16:56:51,2023-04-23T16:57:51,1,0,0,0
41030,30199,Polk,Loop,Pink,308,2023-04-23T16:56:47,2023-04-23T16:57:47,1,0,0,0
41360,30266,California,Harlem/Lake,G,612,2023-04-23T16:56:51,2023-04-23T16:57:51,1,0,0,0
41030,30199,Polk,Loop,Pink,308,2023-04-23T16:57:13,2023-04-23T16:58:13,1,0,0,0
41360,30266,California,Harlem/Lake,G,612,2023-04-23T16:57:24,2023-04-23T16:58:24,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,594,2023-04-23T17:00:40,2023-04-23T17:01:40,1,0,0,0
40330,30064,Grand,Howard,Red,816,2023-04-23T17:01:18,2023-04-23T17:02:18,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,594,2023-04-23T17:01:18,2023-04-23T17:02:18,1,0,0,0
40330,30064,Grand,Howard,Red,816,2023-04-23T17:01:37,2023-04-23T17:02:37,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,594,2023-04-23T17:01:18,2023-04-23T17:02:18,1,0,0,0
41130,30215,Halsted,Loop,Org,713,2023-04-23T17:03:48,2023-04-23T17:04:48,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,593,2023-04-23T17:04:34,2023-04-23T17:05:34,1,0,0,0
41130,30215,Halsted,Loop,Org,713,2023-04-23T17:04:34,2023-04-23T17:05:34,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,593,2023-04-23T17:04:57,2023-04-23T17:05:57,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,593,2023-04-23T17:05:10,2023-04-23T17:06:10,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,930,2023-04-23T17:06:42,2023-04-23T17:07:42,1,0,0,0
41030,30199,Polk,Loop,Pink,307,2023-04-23T17:07:18,2023-04-23T17:08:18,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,930,2023-04-23T17:07:34,2023-04-23T17:08:34,1,0,0,0
40840,30164,South Boulevard,Loop,P,504,2023-04-23T17:07:29,2023-04-23T17:08:29,1,0,0,0
41030,30199,Polk,Loop,Pink,307,2023-04-23T17:07:31,2023-04-23T17:08:31,1,0,0,0
41030,30199,Polk,Loop,Pink,307,2023-04-23T17:08:19,2023-04-23T17:09:19,1,0,0,0
41360,30266,California,Harlem/Lake,G,8,2023-04-23T17:08:33,2023-04-23T17:09:33,1,0,0,0
41360,30266,California,Harlem/Lake,G,8,2023-04-23T17:09:01,2023-04-23T17:10:01,1,0,0,0
41360,30266,California,Harlem/Lake,G,8,2023-04-23T17:09:35,2023-04-23T17:10:35,1,0,0,0
41440,30278,Addison,Loop,Brn,411,2023-04-23T17:09:37,2023-04-23T17:10:37,1,0,0,0
41360,30266,California,Harlem/Lake,G,8,2023-04-23T17:09:35,2023-04-23T17:10:35,1,0,0,0
41440,30278,Addison,Loop,Brn,411,2023-04-23T17:10:16,2023-04-23T17:11:16,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,817,2023-04-23T17:10:36,2023-04-23T17:11:36,1,0,0,0
